X,Y,Z,I,J,K
-5850.1064,-1211.0458,-1164.2731,0.0178169,-0.7416514,-0.6705488
-5850.1054,-1279.4488,-1083.6548,0.0173278,-0.7822901,-0.6226733
-5850.1043,-1342.6853,-998.9233,0.0168797,-0.8195683,-0.5727328
-5850.1033,-1400.503,-910.407,0.0164808,-0.8537032,-0.520499
-5850.1023,-1452.7937,-818.513,0.0161229,-0.8833849,-0.4683707
-5850.1014,-1499.4621,-723.6431,0.0159035,-0.9103208,-0.4135978
-5850.1007,-1540.3236,-626.1265,0.0157462,-0.9330296,-0.3594549
-5850.1001,-1575.4203,-526.3924,0.0157586,-0.952546,-0.3039865
-5850.0997,-1604.657,-424.7846,0.0159057,-0.9683752,-0.248991
-5850.0995,-1628.0602,-321.68,0.0162499,-0.9809563,-0.1935476
-5850.0997,-1645.6135,-217.4198,0.0167853,-0.9902137,-0.1385465
-5850.1002,-1657.3653,-112.3491,0.0175524,-0.9963413,-0.0836411
-5850.1011,-1663.3313,-6.7944,0.0185502,-0.9993967,-0.0293628
-5850.1026,-1663.5715,98.9226,0.0198175,-0.9994954,0.0248234
-5850.1047,-1658.1187,204.4928,0.0213386,-0.9967128,0.0781548
-5850.1076,-1647.0504,309.6155,0.023146,-0.991097,0.1311144
-5850.1114,-1630.4111,413.9941,0.0252378,-0.9826851,0.1835566
-5850.1162,-1608.2414,517.3275,0.0276203,-0.9714229,0.2357429
-5850.1221,-1580.5712,619.3134,0.0302819,-0.9572629,0.2876294
-5850.1294,-1547.4331,719.6386,0.0332069,-0.9401256,0.3392067
-5850.1381,-1508.8618,817.9846,0.0363738,-0.9199117,0.390435
-5850.1482,-1464.9026,914.0237,0.0397539,-0.8965328,0.44119
-5850.1599,-1415.6033,1007.4136,0.043314,-0.8698633,0.4913875
-5850.1731,-1361.0566,1097.8138,0.0470073,-0.840013,0.5405261
-5850.1879,-1301.3616,1184.8744,0.0508141,-0.8066488,0.5888426
-5850.204,-1236.6155,1268.2117,0.0546795,-0.7696955,0.6360652
-5850.2213,-1166.9702,1347.4707,0.0585394,-0.7294413,0.6815339
-5850.2396,-1092.5983,1422.2762,0.0623663,-0.68543,0.7254627
-5850.2584,-1013.6878,1492.2367,0.066091,-0.6377646,0.7673906
-5850.2775,-930.4651,1556.9713,0.0696504,-0.5865114,0.8069406
-5850.2962,-843.201,1616.0894,0.0729852,-0.5315624,0.8438688
-5850.314,-752.1972,1669.2201,0.0760219,-0.4732344,0.8776502
-5850.3303,-657.8021,1716.01,0.0786984,-0.4116709,0.9079282
-5850.3444,-560.4099,1756.1362,0.0809537,-0.3472044,0.9342888
-5850.3826,-470.2358,1784.44,0.0826508,-0.2574465,0.9627513
-5850.5576,-367.6636,1808.8497,0.0831294,-0.2035516,0.9755287
-5850.6538,-263.8984,1827.52,0.0835393,-0.1491102,0.9852854
-5850.7272,-159.2593,1840.4045,0.0838828,-0.094244,0.9920089
-5850.7999,-54.0623,1847.4666,0.0841595,-0.0390712,0.995686
-5850.7942,51.3578,1848.673,0.0843653,0.0162802,0.9963019
-5850.5689,127.4344,1845.8816,0.0844641,0.0562901,0.9948353
-5850.3466,208.0622,1834.3966,0.0816311,0.169712,0.982107
